Date,Headline,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
2020-12-12,"Meet the new Apple: Subscriptions, bundles and soaring revenue",0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-11,Apple boss to urge world leaders to work together for ‘carbon neutral economy’,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Report: Apple Developing Its Own Cellular Modem,1.0,0.6,0.0,0.0,1.0,0.0
2020-12-11,"5 Top Stock Trades for Monday: TWLO, QCOM, DDOG, NLS, SPY",0.5,0.5,0.2023,0.0,0.833,0.167
2020-12-11,"Nvidia Reaching $1 Trillion Will Be Tricky, But Growth Is Inevitable",1.0,0.0,0.4215,0.114,0.571,0.314
2020-12-11,7 Earnings Reports to Watch Next Week,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,"Qualcomm, Skyworks Swoon With Nasdaq as Apple Lowers the Boom",0.0,0.0,-0.128,0.143,0.857,0.0
2020-12-11,"Dow Jones Slips as Disney Stock Soars, Apple Plans In-house Modem",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Here’s Why the Latest Sell Recommendation Makes Fisker Stock a Buy,0.9,0.5,0.0,0.0,1.0,0.0
2020-12-11,The 10 Most Reliable Value Stocks to Buy for 2021,0.5,0.5,0.3976,0.0,0.771,0.229
2020-12-11,"The Zacks Analyst Blog Highlights: Apple, NIKE, Salesforce, Microsoft and Walmart",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Apple Is Reportedly Working on Custom Silicon for Apple Car,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,"Apple's in-house modem plans don't change positive Qualcomm thesis, says Canaccord bull",0.5454545454545454,0.22727272727272727,-0.4449,0.21,0.79,0.0
2020-12-11,7 5G Stocks Supporting the Future of Gaming That Has a Need for Speed,0.1875,0.125,0.4404,0.0,0.791,0.209
2020-12-10,Qualcomm -5% on report Apple begins work on in-house cellular modem,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,: Apple and antitrust: ‘Fortnite’ dispute might open floodgates to serious scrutiny of most valuable U.S. company,0.5555555555555555,0.05555555555555556,0.101,0.196,0.637,0.166
2020-12-10,The New AirPods Max Headphones Won’t Boost Apple Stock,0.45454545454545453,0.13636363636363635,0.4019,0.0,0.748,0.252
2020-12-10,The 7 Best Startups You Can Buy on StartEngine Right Now,0.4178571428571428,0.6428571428571428,0.6369,0.0,0.682,0.318
2020-12-10,"The Zacks Analyst Blog Highlights: Apple, Fitbit, Sony and Peloton Interactive",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,"Zacks Market Edge Highlights: Apple, Intel, Sea Ltd and DocuSign",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,Mungyeong farmer grows premium apples with honey-sweet flavors ,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,Apple’s Services Will Eclipse The IPhone Juggernaut By 2024. How Does This Impact Apple Stock?,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,Apple Working On Self-Driving Vehicle Similar To Tesla With TSMC: Report,0.4,0.0,0.0,0.0,1.0,0.0
2020-12-09,"Dow Jones Slips as Disney Stock Upgraded, Apple Stock Follows Dow Lower",0.0,0.0,-0.296,0.167,0.833,0.0
2020-12-09,"Apple Stock Could Surge 61% to $200, According to This Analyst",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,7 Undervalued Stocks to Buy Now,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,Apple gets Street-high $200 bull case at Wedbush on strongest iPhone trajectory since 2014,0.0,0.0,0.4404,0.0,0.818,0.182
2020-12-09,Apple stock price target was lifted by Wedbush to highest on the Street,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,2 New Catalysts for Apple Stock,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-09,Apple (AAPL) Music Now Available on Google Smart Speakers,0.5214285714285715,0.30714285714285716,0.4019,0.0,0.748,0.252
2020-12-08,New Apple AirPods Max headphones a test for music lovers’ wallets,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-08,Apple takes aim at adtech hysteria over iOS app tracking change,0.0,0.0,-0.4404,0.225,0.775,0.0
2020-12-08,Daily Crunch: Apple announces AirPods Max headphones,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Is Microsoft Stock Heading Straight for a Wall After 2020?,0.4,0.2,0.2263,0.0,0.808,0.192
2020-12-08,Anticipate a Door-Busting Holiday-Shopping Season With Apple Stock,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Apple Launches AirPods Max ,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Apple Goes Big With AirPods Max,0.1,0.0,0.0,0.0,1.0,0.0
2020-12-08,"Apple to tighten app privacy, remove apps that don't comply",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,7 Tech Stocks To Buy For A Very Happy Holiday Season,1.0,1.0,0.7889,0.0,0.501,0.499
2020-12-08,Apple launches its first own-brand headphones,0.3333333333333333,0.25,0.0,0.0,1.0,0.0
2020-12-08,The Margin: Apple is getting an earful over the AirPods Max’s $549 price tag,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Apple to show more data usage indicators on the App Store,0.5,0.5,0.0,0.0,1.0,0.0
2020-12-08,Peloton slides 3% after Apple reveals its competing fitness service will launch on December 14,0.0,0.0,0.2732,0.0,0.87,0.13
2020-12-08,"Apple Unveils AirPods Max, Fitness Subscription Service Fitness+ ",0.0,0.0,0.2732,0.0,0.769,0.231
2020-12-08,"If you want to grow apples, choose the tastiest",0.0,0.0,0.0772,0.0,0.86,0.14
2020-12-08,: Apple announces over-the-ear AirPods Max headphones for $549,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Apple Fitness+ launches on December 14,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,1 Reason to Be Bullish on Apple Stock,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,"Apple announces $549 over-hear headphones, the AirPods Max",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Apple launches $549 over-ear AirPods Max headphones; preorders start today,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Apple looks to disrupt exercise space with subscription service,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Cloudflare and Apple design a new privacy-friendly internet protocol,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-07,Report: Apple Developing Mac Chips That Will Be Faster Than Intel's Top-Line Products,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,Daily Crunch: Google smart speakers add Apple Music support,0.32142857142857145,0.10714285714285714,0.6597,0.0,0.565,0.435
2020-12-07,"Steve Jobs' 22-year-old daughter, Eve, is modeling for venture-backed beauty brand Glossier",0.0,0.0,0.5859,0.0,0.743,0.257
2020-12-07,The 5 Best Stocks for Trading Options,0.3,1.0,0.6369,0.0,0.543,0.457
2020-12-07,California’s CA Notify app to offer statewide exposure notification using Apple and Google’s framework,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,Google adds support for Apple Music to its Google Assistant-enabled smart speakers and displays,0.6428571428571429,0.21428571428571427,0.6597,0.0,0.69,0.31
2020-12-07,3 Top Stock Trades for the Week,0.5,0.5,0.2023,0.0,0.735,0.265
2020-12-07,7 Index Funds To Buy For Diversified Growth in 2021,0.0,0.0,0.3818,0.0,0.755,0.245
2020-12-07,Expect Apple Stock to Hold Steady at Today’s Prices,0.5,0.16666666666666666,0.0,0.0,1.0,0.0
2020-12-07,"Apple consumers still favoring the higher-priced new iPhone models, says J.P. Morgan",0.45454545454545453,0.13636363636363635,0.4215,0.0,0.797,0.203
2020-12-07,"PulteGroup, Post Holdings, PayPal, Global Payments and Apple highlighted as Zacks Bull and Bear of the Day",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,The InvestorPlace Q&A: Focus on the Future of Work With the ProShares MSCI Transformational Changes ETF,0.125,0.0,0.0,0.0,1.0,0.0
2020-12-07,"It’s Crazy That Palantir Stock Is On Track for Annual Gains of 1,386%",0.9,-0.6,0.0,0.152,0.696,0.152
2020-12-07,Apple reportedly testing Intel-beating high core count Apple Silicon chips for high-end Macs,0.5399999999999999,0.16,0.0,0.0,1.0,0.0
2020-12-07,ANA Criticism Of Apple Is Occasion To Tout Publisher Strengths,0.0,0.0,-0.1779,0.312,0.496,0.191
2020-12-07,Apple working on new in-house Mac silicon to take on Intel - Bloomberg,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-07,"Apple’s 2021 Upside Should Be More Modest, But Don’t Bet Against It",0.7,0.3,0.0,0.0,1.0,0.0
