Date,Tweet Text,Compound,Negative,Neutral,Positive
2020-12-10,Tune into our exclusive interview with _bighit hosted by . LIVE NOW in the Amazon Music app ➡️  ,0.296,0.0,0.824,0.176
2020-12-10,An Amazon Original Christmas song from ? We’re listening! And you can too ❤️🎧:  ,0.5093,0.0,0.719,0.281
2020-12-10,Watch these artists LIVE in the Amazon Music mobile app ➡️ 👋 _bighit 👋  👋  👋  👋  👋  👋  👋  👋  👋  ,0.1779,0.0,0.866,0.134
2020-12-10,"Wireless Controller for Nintendo Switch, KINGEAR Wireless Switch Controller Remote Gamepad Joystick with NFC, Switch Pro Controller Support Turbo, Motion Control, Dual Vibration and Gyro Axis (Yellow)  ",-0.2577,0.135,0.731,0.134
2020-12-10,NOW in Audio! A Clue for Adrianna written by  and narrated by   and  or  First standalone novel in the Captain’s Point Series Romance BookBoost ASMSG SNRTG IARTG authorRT ,0.7345,0.0,0.801,0.199
2020-12-10,Soon to expire Amazon coupons 12/11/2020✂️ clip them now before they're gonePay less for the same stuff you're already buying. ,0.1779,0.0,0.918,0.082
2020-12-10, KontrolFreek FPS Freek Galaxy Purple for PS5 &amp; PS4 £14.98🇬🇧  ,0.0,0.0,1.0,0.0
2020-12-10, Tune into our exclusive interview with _bighit hosted by . LIVE NOW in the Amazon Music app ➡️ …,0.296,0.0,0.824,0.176
2020-12-10,"Dogma (1999) DVD/Matt Damon, Ben Affleck, Linda Fiorent  ",0.0,0.0,1.0,0.0
2020-12-10,Watch strap connector Stainless Steel Adapter Replaceable Metal Connection Adapter Connection Watch Strap with Replacement Tool Compatible with Apple Watch Band 38mm 40mm（4 colors-4 Pair）  ,0.0,0.0,1.0,0.0
2020-12-10, Tune into our exclusive interview with _bighit hosted by . LIVE NOW in the Amazon Music app ➡️ …,0.296,0.0,0.824,0.176
2020-12-10, Tune into our exclusive interview with _bighit hosted by . LIVE NOW in the Amazon Music app ➡️ …,0.296,0.0,0.824,0.176
2020-12-10,"36 pack of Mechanical Pencils, $5.57!   ",0.0,0.0,1.0,0.0
2020-12-10,"ANCOOL Compatible with Forerunner 235/735XT/220/230/620/630 Bands,Soft Silicone Sport Strap Replacement Wristband for Smart Watch -White  ",0.4019,0.0,0.838,0.162
2020-12-10,HORI D-Pad Controller (L) (Mario) Officially Licensed - Nintendo Switch  ,0.0,0.0,1.0,0.0
2020-12-10,XTRONS Android 10 Car Stereo Radio Player 8 Inch Touch Screen GPS Navigation Built-in DSP Bluetooth Head Unit Supports Android Auto Car Auto Play Full RCA Backup Camera WiFi OBD2 DVR TPMS for Audi A3  ,0.5994,0.0,0.867,0.133
2020-12-10, Kindly refer this link here:  for more information on your concern. ^KV,0.4939,0.0,0.775,0.225
2020-12-10,"RT _Norman: '('s) book contains romantic tension, deep unforgettable love, and heartbreak.''A 5⭐️ romantic western.…",0.8074,0.1,0.48,0.419
2020-12-10, A Country for Dying by Abdellah Taia ://t.co/Vs7d1u7yQX Books Novel Fiction LiteraturePosts…,0.3182,0.0,0.813,0.187
2020-12-10, Join us for an exclusive interview with _bighit and  tomorrow at 7am PT / 10am ET — see you there! Watc…,0.4574,0.0,0.81,0.19
2020-12-10,Check out this Amazon deal: Terminator 2: Judgement Day 4K Ultra Hd [Blu-ray] by James Cameron  via  $7.50,0.2204,0.0,0.901,0.099
2020-12-10," This is a great idea! A Sailor Moon gift set featuring a mug, a keyring, and a journal! Available here …",0.8217,0.0,0.632,0.368
2020-12-10,"(10 pack) Multi Use BPA-Free Moldable Dental Mouth GuardPrevents teeth grinding. Customizable to accommodate any mouth size, is safe &amp; lightweight. On sale as low as $11.99. mouth guard ",0.2023,0.066,0.844,0.091
2020-12-10,Syga Baby Bottle Cleaning Brush Set (Pack of 4) Link : ,0.0,0.0,1.0,0.0
2020-12-10, Two Thumbs Out by Peggy Boyd US:  UK:  AUS:  My mother'…,0.0,0.0,1.0,0.0
