Date,Tweet Text,Compound,Negative,Neutral,Positive
2020-12-11,You learned science in school from this guy. Now learn about the science behind COVID masks.Unless learning isn’t your thing. [Video: 3m 20s],0.0,0.0,1.0,0.0
2020-12-11,"Over the past few months, Facebook critics have asked why disgruntled employees haven't left. Inside FB, loyalists have told unhappy folks to vote with their feet. People are now doing so, and they're torching FB in their goodbye notes. We got them: ",-0.4404,0.108,0.846,0.046
2020-12-11,"As Boris Johnson warns a no-deal Brexit is “very, very likely”, independent peer Baroness Kate Hoey says media coverage of trade talks is “making people more frightened than they need to be”.Watch in full ►  |  ",-0.5563,0.129,0.871,0.0
2020-12-11, | 𝗙𝗔𝗖𝗘𝗕𝗢𝗢𝗞 𝗨𝗣𝗗𝗔𝗧𝗘 |FB: Warner Music Taiwan - 西洋 w/ 12.12.2020Please support by liking &amp; commenting. 📎 ht…,0.6597,0.0,0.707,0.293
2020-12-11,"FNL (Friday News Live) All the Travel News YOU Can USE for the Week of December 11, 2020! 🎄🚂🎢🚠⛴🎡🚘😷 ",0.0,0.0,1.0,0.0
2020-12-11," This is an amazing photo taken by Athenologio of the temple of Hephaestus in the ancient agora, Athens, Greece. (It is we…",0.5859,0.0,0.847,0.153
2020-12-11, I will send a random person $150 all you have to do is RT and be following  &amp; myself in the next 48hrsMust…,0.0,0.0,1.0,0.0
2020-12-11," Cooking a delicious butternut squash and carrot soup with  and talking about climate justice, racial just…",0.7964,0.0,0.647,0.353
2020-12-11,            This is so cool! Merry Christmas!,0.8102,0.0,0.352,0.648
2020-12-11,  new RELEASE DATE 12/18/2020 on demand everywhere ,-0.128,0.2,0.8,0.0
2020-12-11, . joined by @_GrahamMartin from the Handley High School Boys Basketball team. Click the link below or follow…,0.0,0.0,1.0,0.0
2020-12-11, . sits down with Handley High School Head Boys Basketball Coach Blake Smalley. Click the link below for the f…,0.0,0.0,1.0,0.0
2020-12-11,We’ve got a COLLEGE BASKETBALL group on FB. Go join. ,0.296,0.0,0.784,0.216
2020-12-11, . joined by @_GrahamMartin from the Handley High School Boys Basketball team. Click the link below or follow…,0.0,0.0,1.0,0.0
2020-12-11, | 𝗙𝗔𝗖𝗘𝗕𝗢𝗢𝗞 𝗨𝗣𝗗𝗔𝗧𝗘 |FB: Warner Music Taiwan - 西洋 w/ 12.12.2020Please support by liking &amp; commenting. 📎 ht…,0.6597,0.0,0.707,0.293
2020-12-11, I will be there live for WinterAppeal. Please contribute.  Join us tomorrow to support Stand Up To Racism - North East…,0.2732,0.156,0.57,0.274
2020-12-11,⁦⁩ beautiful playing &amp; a very worthy cause  ,0.8357,0.0,0.31,0.69
2020-12-11,₱30.00 GIVEAWAY 💸♡ follow  ♡ like fb page:  (reply proof)♡ rt this when doneends in 3 hrs!,0.4199,0.0,0.834,0.166
