Date,Headline,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
2020-12-11,7 Earnings Reports to Watch Next Week,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,"The Zacks Analyst Blog Highlights: Roche, Wells Fargo, General Electric, Microsoft and Intuit",0.5,0.05000000000000002,0.25,0.0,0.857,0.143
2020-12-11,"The Zacks Analyst Blog Highlights: Apple, NIKE, Salesforce, Microsoft and Walmart",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,New console launches pace a record $7B November for videogame sales,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-10,Microsoft Flight Simulator is coming to Xbox Series X/S in spring 2021,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,Xbox studio The Initiative debuts Perfect Dark at The Game Awards,0.6,0.15,0.7717,0.0,0.573,0.427
2020-12-10,Microsoft (MSFT) Dips More Than Broader Markets: What You Should Know,0.5,0.5,0.0,0.0,1.0,0.0
2020-12-10,Microsoft (MSFT) to Extend Cloud Gaming to iOS and Windows PC,0.0,0.0,0.1779,0.0,0.855,0.145
2020-12-10,"Cloudera, Inc. -- Moody's assigns Ba3 CFR to Cloudera, outlook stable",0.0,0.0,0.296,0.0,0.82,0.18
2020-12-10,"Cloudera, Inc. -- Moody's assigns Ba3 CFR to Cloudera, outlook stable",0.0,0.0,0.296,0.0,0.82,0.18
2020-12-10,The 7 Best Startups You Can Buy on StartEngine Right Now,0.4178571428571428,0.6428571428571428,0.6369,0.0,0.682,0.318
2020-12-10,Microsoft adopts Adyen's tokenized payment technology,0.0,0.0,0.1779,0.0,0.746,0.254
2020-12-10,5 Hot Upcoming IPOs to Watch Heading Into 2021,0.8500000000000001,0.25,0.0,0.0,1.0,0.0
2020-12-10,Deutsche Telekom and Microsoft broaden partnership for high-performance cloud computing experiences,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-10,Wait and See If This New CEO Can Help Move Nokia Stock,0.45454545454545453,0.13636363636363635,0.4019,0.0,0.803,0.197
2020-12-09,Breakthrough Blockchain Technology Is Now Converting the Skeptics,0.0,0.0,-0.1027,0.167,0.833,0.0
2020-12-09,"SoftBank, Microsoft investments pay off after stellar DoorDash, C3.ai IPOs",0.25,0.25,-0.1027,0.135,0.865,0.0
2020-12-09,Microsoft launches effort to fight corruption with AI and other emerging technologies,0.375,-0.125,-0.3818,0.191,0.809,0.0
2020-12-09,Microsoft brings new process mining features to Power Automate,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-09,Microsoft debuts Power Automate process advisor and new RPA features,0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-09,3 Altcoins That Could Outpace Bitcoin in the Coming Years,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,Xbox cloud gaming coming to iOS and PC in Spring 2021,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,Investment Breakdown: The Best Stock in Each Sector of the Market,0.3,1.0,0.6369,0.0,0.704,0.296
