Date,Headline,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
2020-12-11,7 Earnings Reports to Watch Next Week,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Blockbuster Disney+ Results Will Push Disney Stock to $200,0.0,0.0,0.5994,0.0,0.672,0.328
2020-12-11,Disney jumps 13% to new record after home-run Investor Day forecasts blockbuster streaming success,0.22727272727272727,0.21818181818181817,0.8225,0.0,0.612,0.388
2020-12-11,Netflix honors Selena — and the German origins of Tejano,0.0,0.0,0.5106,0.0,0.708,0.292
2020-12-11,7 5G Stocks Supporting the Future of Gaming That Has a Need for Speed,0.1875,0.125,0.4404,0.0,0.791,0.209
2020-12-10,Netflix's 'Queen's Gambit' first to three-peat atop Nielsen streaming charts,0.3333333333333333,0.25,0.0,0.0,1.0,0.0
2020-12-10,"5 Big Reasons Trade Desk Stock Will Hit $1,000 Soon",0.1,0.0,0.0,0.0,1.0,0.0
2020-12-10,"If You Had Put $8,000 Into Netflix Stock Last January, Here's How Much You'd Have Now",0.13333333333333333,0.1,0.0,0.0,1.0,0.0
2020-12-10,"Sell Netflix and Buy Roku, According to This Analyst",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,Nicolas Cage to host History Of Swear Words for Netflix,0.0,0.0,-0.0516,0.118,0.882,0.0
2020-12-09,"From ‘Extraction’ to ‘The Queen’s Gambit’, these are the most popular titles on Netflix in Australia in 2020",0.7,0.55,0.4754,0.0,0.846,0.154
2020-12-09,"Fisker Is Picking Up Speed, But It Will Have a Long Journey Ahead",0.4,-0.05,0.0,0.0,1.0,0.0
2020-12-09,"Streamers, including Netflix and CBS All Access, roll out new family-friendly features",0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0
2020-12-09,"Short Netflix, long Roku to continue as top pair trade for Needham in 2021",0.39999999999999997,0.15,0.2023,0.0,0.878,0.122
2020-12-09,"Google app store fees to widen gap between Netflix, local OTTs ",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-08,Peacock passes 26M subscribers as streaming growth continues,0.0,0.0,0.3818,0.0,0.729,0.271
2020-12-08,3 ESG Stocks That Can Help With Your New Year’s Investing Resolutions,0.45454545454545453,0.13636363636363635,0.4019,0.0,0.787,0.213
2020-12-07,Netflix And Microsoft Remain Top Stocks To Buy This Week,0.5,0.5,0.2023,0.0,0.833,0.167
2020-12-07,Buy the Earnings Dip in Sumo Logic Stock,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,Market Magic Helps Disney Stock Sail Through Pandemic,1.0,0.5,0.3818,0.0,0.729,0.271
2020-12-07,The 5 Best Stocks for Trading Options,0.3,1.0,0.6369,0.0,0.543,0.457
2020-12-07,Netflix reveals cast of comedy special from creators of Black Mirror,0.5023809523809524,0.09523809523809525,0.6369,0.0,0.634,0.366
2020-12-07,Could Netflix Be a Millionaire Maker Stock?,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-06,Netflix rejects calls to add disclaimer to The Crown,0.0,0.0,-0.4939,0.286,0.714,0.0
2020-12-06,Gov't to inspect Netflix over customer data violation ,0.0,0.0,-0.4939,0.314,0.686,0.0
2020-12-06,Netflix says it has ‘no plans’ to add disclaimer to episodes of The Crown,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-04,The Wall Street Journal: Netflix sued by Activision Blizzard for allegedly poaching its former CFO,0.05,-0.05,0.0,0.0,1.0,0.0
2020-12-04,Warner insiders think all-in-on-HBO Max strategy is stumbling - CNBC,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-04,"Discovery Communications, LLC -- Moody's says Discovery's launch of global streaming service, Discovery+, is credit positive",0.2727272727272727,0.11363636363636363,0.7351,0.0,0.693,0.307
2020-12-04,"Discovery Communications, LLC -- Moody's says Discovery's launch of global streaming service, Discovery+, is credit positive",0.2727272727272727,0.11363636363636363,0.7351,0.0,0.693,0.307
2020-12-04,Activision sues Netflix for illegally poaching execs,0.5,-0.5,0.0,0.0,1.0,0.0
2020-12-04,"Analysts: AMC, Cinemark, Netflix Won't Suffer Greatly From Warner Bros.' 2021 Streaming Scheme",0.75,0.8,0.431,0.0,0.808,0.192
2020-12-04,FSLY Stock: Why Fastly Shares Are Surging Today,0.6,0.2,0.296,0.0,0.761,0.239
2020-12-04,"The Zacks Analyst Blog Highlights: Tesla, Amazon, Netflix and NIO",0.0,0.0,0.1779,0.0,0.841,0.159
2020-12-04,"Netflix, Align Technology, Charter: Are These Stocks Next In Line For A Split?",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-04,5 Streaming Stocks to Buy for a Socially Distanced Holiday Season,0.06666666666666667,0.03333333333333333,0.4019,0.0,0.748,0.252
2020-12-04,Here's Why Netflix Pulled Dave Chappelle's Stand-Up Show,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-04,You Should Be Concerned How Much Tesla Stock Can Move the S&P,0.2,0.2,0.0,0.0,1.0,0.0
2020-12-04,"Netflix stock not facing an HBO Max 'Death Star,' analyst says",0.0,0.0,-0.5994,0.281,0.719,0.0
2020-12-03,Netflix goes on India promotion blitz to catch up with streaming rivals,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-03,Why and How You Should Shop the Drop in Alibaba Stock,0.0,0.0,-0.2732,0.174,0.826,0.0
2020-12-03,UBS look into crystal screen seeks winners in the future TV industry,0.125,0.0,0.4767,0.0,0.78,0.22
2020-12-03,"The Zacks Analyst Blog Highlights: Facebook, Netflix, AbbVie, American Airlines and Micron Technology",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-02,Netflix (NFLX) Stock Sinks As Market Gains: What You Should Know,0.0,-0.1,0.34,0.0,0.806,0.194
2020-12-02,"Top Stock Reports for Facebook, Netflix & AbbVie",0.5,0.5,0.2023,0.0,0.769,0.231
2020-12-01,PLUG Stock Not One That Investors Can Easily Time,0.8333333333333334,0.43333333333333335,0.34,0.0,0.769,0.231
2020-11-30,Trending Stocks Rated Top Buy This Week Include Microsoft And Netflix,0.5,0.5,0.2023,0.0,0.847,0.153
2020-11-30,Take Advantage of Recent Covid-19 Vaccine Weakness in Zoom Stock,0.25,0.0,-0.2023,0.219,0.625,0.156
2020-11-30,3 Wild Stocks to Buy Now to End 2020 With a Bang,0.4,0.1,0.0,0.0,1.0,0.0
2020-11-28,Netflix to begin declaring UK revenues to British tax authorities,0.0,0.0,0.0,0.0,1.0,0.0
2020-11-26,Better Buy: Starbucks vs. Netflix,0.5,0.5,0.4404,0.0,0.58,0.42
2020-11-26,Sophia Loren's comeback in Holocaust survivor role is a Netflix hit,0.0,0.0,0.3612,0.0,0.783,0.217
2020-11-25,Cowen stares into at-home stocks (and Internet enablers) to find permanent winners,0.0,0.0,0.4767,0.0,0.78,0.22
2020-11-25,Netflix (NFLX) Gains As Market Dips: What You Should Know,0.0,0.0,0.34,0.0,0.789,0.211
2020-11-25,Will Netflix Stock Crash in 2021?,0.0,0.0,-0.4019,0.351,0.649,0.0
2020-11-24,Police case filed against Netflix executives in India over ‘A Suitable Boy’ kissing scene,0.75,0.55,0.5719,0.0,0.778,0.222
2020-11-24,What's Worth Streaming: Here’s everything coming to Netflix in December 2020 — and what’s leaving,0.1,0.3,0.2263,0.0,0.872,0.128
2020-11-24,Netflix removes ‘Chappelle’s Show’ at Dave Chappelle’s request,0.0,0.0,0.0,0.0,1.0,0.0
2020-11-24,Netflix (NFLX) to Expand Production Hub in New Mexico Studio,0.45454545454545453,0.13636363636363635,0.3182,0.0,0.796,0.204
2020-11-24,HBO Just Did Something Netflix Never Has,0.0,0.0,0.0,0.0,1.0,0.0
2020-11-24,10 Best Stocks to Buy for Investors Under 30,0.3,1.0,0.6369,0.0,0.656,0.344
2020-11-24,More Good News for Netflix in This Important Market,0.7000000000000001,0.5333333333333333,0.6115,0.0,0.584,0.416
2020-11-24,Netflix in 3 Charts,0.0,0.0,0.0,0.0,1.0,0.0
2020-11-24,'City Couple's Way of Love' to be unveiled on Netflix ,0.6,0.5,0.6369,0.0,0.682,0.318
2020-11-23,Netflix to expand production hub in New Mexico,0.45454545454545453,0.13636363636363635,0.3182,0.0,0.753,0.247
2020-11-23,Netflix commits $1 billion to make New Mexico home to one of the world’s largest studios,0.45454545454545453,0.13636363636363635,0.0258,0.0,0.932,0.068
2020-11-23,Netflix reveals record viewing figures for The Queen’s Gambit,0.0,0.0,0.0,0.0,1.0,0.0
2020-11-23,Netflix says ‘The Queen’s Gambit’ is setting viewership records,0.0,0.0,0.0,0.0,1.0,0.0
2020-11-23,Netflix says 'Queen's Gambit' is most-watched scripted limited series,0.14285714285714285,-0.07142857142857142,-0.2263,0.192,0.808,0.0
