Date,Tweet Text,Compound,Negative,Neutral,Positive
2020-12-11,"BREAKING: Tesla will replace Apt. Investment &amp; Management Co. in the S&amp;P 500. The carmaker will also be classified as ""Consumer Discretionary"" when it enters the index on Dec. 21.",0.0,0.0,1.0,0.0
2020-12-11,*NIO PLANS STOCK SALE WORTH $3.12 BILLION AS CHINESE ELECTRIC CARMAKERS BOOST CAPITAL TO CHALLENGE TESLA: SCMP$NIO$TSLA ,0.7963,0.0,0.634,0.366
2020-12-11,"*S&amp;P DOW JONES INDICES: TESLA WILL BE ADDED TO THE S&amp;P 100, REPLACING OCCIDENTAL PETROLEUM$TSLA$OXY ",0.0,0.0,1.0,0.0
2020-12-11,"""The addition of $TSLA will cause the largest rebalancing ever of the S&amp;P 500 ... Tesla could create more trading than many other names added to the index just simply because it has not been in the S&amp;P 1500, as a member of the S&amp;P 400 or S&amp;P 600""",0.2732,0.0,0.957,0.043
2020-12-11," Love this review of the ID.4. Points out a lot of great features in comparison to the Tesla, but doesn't even talk abo…",0.631,0.0,0.795,0.205
2020-12-11,American car companies are planning the future of vehicles: electric pickup trucks. Here's what they'll look like—if they ever get made ,0.0,0.0,1.0,0.0
2020-12-11, Can we all take a moment and think about the fact that Alibaba has a higher market cap than Tesla?731 Billion vs 594 Billi…,0.0,0.0,1.0,0.0
2020-12-11,"New article: ""Tesla Stock - Reports that Steel Dynamics to supply Tesla send stock upward"" has been published on Fintech Zoom -   Fintech Blockchain Crypto Cryptocurrency ICO",0.2732,0.0,0.92,0.08
2020-12-11,"RT _rock: Tesla $TSLA and SpaceX chief Elon Musk also confirmed this week that he moved to Texas, though his companies still maintai…",0.0,0.0,1.0,0.0
2020-12-11, BREAKING: Tesla will replace Apartment Investment and Management Co. (NYSE:AIV). Tesla will also be added to the S&amp;P 100…,0.0,0.0,1.0,0.0
2020-12-11, Tesla wraps up $5 billion stock offering in a single day  by ,0.0,0.0,1.0,0.0
2020-12-11," BREAKING: Tesla will replace Apt. Investment &amp; Management Co. in the S&amp;P 500. The carmaker will also be classified as ""Consume…",0.0,0.0,1.0,0.0
2020-12-11," _tesla I have to assume these are the $TSLA S&amp;P 500 weights and index buying, or no?What about additional buying for S&amp;P 100 tracking funds?",0.0,0.0,1.0,0.0
2020-12-11, American car companies are planning the future of vehicles: electric pickup trucks. Here's what they'll look like—if they ever get…,0.0,0.0,1.0,0.0
2020-12-11," Elon Musk doesn't like it when we pay attention to $TSLA dicey financials, especially when he's trying to raise *anoth…",-0.3632,0.163,0.837,0.0
2020-12-11, Most active stocks in today's pre-market tradingAmerican $AALPfizer $PFECarnival $CCLDisney $DISNorwegian $NCLHTes…,0.4576,0.0,0.786,0.214
2020-12-11,"Tesla is quite bullish with its new all-time-high run-up, but along with with all assets, price must revert back to the average. Take profits. tsla market tesla",0.7096,0.0,0.809,0.191
2020-12-11, Largest U.S stocks by market cap not currently included in the S&amp;P 500Tesla $TSLAZoom $ZMSquare $SQ$UBERSnowflake $…,0.0,0.0,1.0,0.0
2020-12-11, Stocks priced higher than $50 with the most shares traded todayApple $AAPL 80.6M sharesAirbnb $ABNB 70.1MTesla $TSLA…,0.3597,0.0,0.865,0.135
2020-12-11,"Fun one IMO, $TSLA $GE Tesla Stock Versus GE: A Tale of Two Bears  via ",0.5106,0.0,0.798,0.202
2020-12-11, Largest MKT Cap stocks that were positive todayApple $AAPL +1.2%Alibaba $BABA +0.41%Tesla $TSLA +3.74%Nvidia $NVDA +…,0.5574,0.0,0.806,0.194
2020-12-11,Tesla (TSLA) gets a higher price target and downgrade from the same Wall St firm  ,0.0,0.0,1.0,0.0
2020-12-11," The final settlement of shares sold by Elon Musk Tesla $TSLA regarding their $5B ""At-The -Market"" share offering is expec…",0.5267,0.0,0.804,0.196
2020-12-11,Tesla $TSLA down again in pre-market on another downgrade. Does it once again see another round of Dip buyers? ,0.0,0.0,1.0,0.0
2020-12-11, Large cap stocks with the most shares traded today$NIO 93M sharesGeneral Electric $GE 79.7MAmerican $AAL 72.6MFord $…,0.3597,0.0,0.865,0.135
