Date,Headline,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
2020-12-11,Walmart Prepares to Spearhead Vaccine Distribution,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Asda paid £1bn dividend to Walmart 7 months before sale announced,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Plug Power Finds Real Chemistry With Wall Street,0.30000000000000004,0.2,0.0,0.0,1.0,0.0
2020-12-11,7 Earnings Reports to Watch Next Week,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Walmart received £1.1bn Asda dividend weeks before UK lockdown,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,"The Zacks Analyst Blog Highlights: Apple, NIKE, Salesforce, Microsoft and Walmart",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Walmart Preparing Its Pharmacies To Administer Covid-19 Vaccine ,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-11,Walmart mobilizes to help in vaccination distribution,0.0,0.0,0.4019,0.0,0.69,0.31
2020-12-10,Coalition Of CEOs Pledge 1 Mln Jobs For Black Americans ,0.43333333333333335,-0.16666666666666666,0.0,0.0,1.0,0.0
2020-12-10,7 Equity Crowdfunding Offerings to Buy This Week,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-09,The Bear Case Continues to Widen for Plug Power,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,Federal judge shuts down TikTok ban in win for ByteDance,0.34444444444444444,0.32222222222222224,0.0516,0.234,0.519,0.247
2020-12-07,"Dow Jones Sinks as Boeing Stock Upgraded, Walmart Considers Flipkart IPO",0.0,-0.1,0.0,0.0,1.0,0.0
2020-12-07,3 Top Stock Trades for the Week,0.5,0.5,0.2023,0.0,0.735,0.265
2020-12-07,Where the Hypergrowth Stock Picks in E-Commerce Are Hiding,0.0,0.0,-0.296,0.216,0.784,0.0
2020-12-07,Walmart Planning Flipkart IPO? 10 Things We Know About the Indian E-Commerce Biz,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,Walmart said to be exploring Flipkart IPO,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-07,Amazon Will Continue to Dominate in a Post-Pandemic World,0.0,0.0,0.0516,0.163,0.652,0.185
2020-12-04,"Walmart (WMT) Offers Bonuses, Supports Workers Amid Pandemic",0.0,0.1,0.7269,0.0,0.496,0.504
2020-12-04,Don’t Underestimate the Impact of Diem on Facebook Stock,0.0,0.0,-0.296,0.216,0.784,0.0
2020-12-04,These Two Big Risks in Plug Power Stock Could Zap You,0.1,0.0,-0.2732,0.174,0.826,0.0
2020-12-03,Walmart to Pay Out $700 Million in Bonuses to Employees,0.0,0.0,0.4939,0.108,0.615,0.277
2020-12-03,"Zacks Earnings Trends Highlights: Target, Walmart, Home Depot and Lowe's",0.0,0.0,0.0,0.0,1.0,0.0
2020-12-03,Walmart To Pay Additional $700 Mln Cash Bonuses To U.S. Associates ,0.0,0.0,0.4939,0.1,0.643,0.257
2020-12-03,Walmart to give 4th round of bonuses to workers since virus,0.4,-0.2,0.5574,0.0,0.735,0.265
2020-12-03,"Walmart (WMT) Boosts Walmart+ Program, Removes Shipping Minimum",0.0,0.0,0.3182,0.0,0.753,0.247
2020-12-03,Walmart to pay out an additional $700 million in bonuses to U.S. employees,0.0,0.0,0.4939,0.087,0.688,0.225
2020-12-03,Here's An Undeniable Advantage Amazon Has Over Walmart,0.0,0.0,0.4019,0.0,0.619,0.381
2020-12-03,New funding has Walmart's Flipkart partially spin off PhonePe,0.37727272727272726,0.018181818181818174,0.0,0.0,1.0,0.0
2020-12-02,"Dow Jones Barely Changed as Salesforce Stock Tumbles on Slack Acquisition, Walmart Takes a Shot at Amazon Prime",0.1,0.05,0.1779,0.0,0.904,0.096
2020-12-02,Walmart+ takes on Prime by dropping $35 minimum on Walmart.com purchases,0.0,0.0,0.0,0.0,1.0,0.0
2020-12-02,Walmart Challenges Amazon Prime With No-Minimum Free Shipping,0.8,0.4,0.6486,0.0,0.442,0.558
2020-12-02,Walmart will remove $35 minimum on online orders for its members,0.0,0.0,0.0,0.0,1.0,0.0
