Date,Tweet Text,Compound,Negative,Neutral,Positive
2020-12-11,"FWSells $WMT WALTON ALICE L, 10%-owner of Walmart Inc. sold 1,131,053 shares on 2020-12-11. ",0.296,0.0,0.855,0.145
2020-12-11,Walmart Prepares to Spearhead Vaccine Distribution  stocks $WMT ,0.0,0.0,1.0,0.0
2020-12-11,"FWSells $WMT WALTON S ROBSON, 10%-owner,Director of Walmart Inc. sold 1,131,053 shares on 2020-12-11. ",0.296,0.0,0.845,0.155
2020-12-11,"RT ______: When $VSBY $VSBGF CEO Jay Hutton mentions Walmart $WMT and Walgreens $WBA are pursuing store as media opportunities, a…",0.3818,0.0,0.885,0.115
2020-12-11,"Walmart Inc (WMT) price at close, 2020-12-11, is 147.",0.0,0.0,1.0,0.0
2020-12-11,"RT ______: When $VSBY $VSBGF CEO Jay Hutton mentions Walmart $WMT and Walgreens $WBA are pursuing store as media opportunities, a…",0.3818,0.0,0.885,0.115
2020-12-11,"RT ______: When $VSBY $VSBGF CEO Jay Hutton mentions Walmart $WMT and Walgreens $WBA are pursuing store as media opportunities, a…",0.3818,0.0,0.885,0.115
2020-12-11,"When $VSBY $VSBGF CEO Jay Hutton mentions Walmart $WMT and Walgreens $WBA are pursuing store as media opportunities, assume they are in talks! Already partnered with $BUD, and in talks with Coke $KO or Pepsi $PEP. Soon to announce terms with intel $INTC already in production📈",0.4389,0.0,0.94,0.06
2020-12-11,     This really depends on your goal:Agressive - BTCConservative - AMZNin-between - TSLAor Just go w/ WMT for a better balance as I see Walmart+ can take on $AMZN Prime seriously.,0.296,0.062,0.833,0.105
2020-12-11,Walmart Prepares to Spearhead Vaccine Distribution $WMT  $SPY,0.0,0.0,1.0,0.0
2020-12-11, $WMT Walmart is preparing to administer the COVID-19 vaccine once approved,0.4215,0.0,0.781,0.219
2020-12-11,$WMT + is not getting the attention it deserves. Walmart is already the largest grocer in the country and have now added an extremely competent e-commerce piece to the puzzle. Can't get enough of Walmart! tyi,0.4376,0.0,0.922,0.078
2020-12-11,I'm not a huge fan of  BUT I have had great experiences grocery pickup. Here’s $10 to try it.   groceries grocerypickup,0.6896,0.12,0.65,0.23
2020-12-11,Some of the largest stocks that hit new 1 month lows so far todayWalmart $WMT$PGNvidia $NVDAAbbott $ABTSanofi $SNYLockheed $LMTAmerican Tower $AMTMondelez $MDLZEquinix $EQIXHumana $HUMRegeneron $REGNGrumman $NOCWaste Management $WML3 $LHX$SPGISplunk $SPLK$XP,-0.2023,0.06,0.94,0.0
2020-12-11,How much revenue will the grocery industry lose to $AMZN and $WMT's respective e-commerce grocery options as a result of COVID and the inconvenience of mask mandates? How many of the big box grocers will remain standing in 5-10 years?wholefoods amazonfresh amazon Walmart,-0.264,0.116,0.791,0.094
2020-12-11,Here's how the largest stocks are performing todayApple $AAPL -2.16%Microsoft $MSFT +0.3%Amazon $AMZN -0.64%Alphabet $GOOG -0.7%Facebook $FB -1.77%Alibaba $BABA -0.7%Tesla $TSLA -3.85%Berkshire $BRK.B -1.1%Taiwan Semi $TSM -0.96%Visa $V -1.29%Walmart $WMT -0.22%,0.0,0.0,1.0,0.0
2020-12-11,3 Factors Leading Walmart's E-Commerce Business Toward Profitability | The Motley Fool  by  of  ,-0.2023,0.193,0.667,0.14
2020-12-11, $WMT Walmart - Unusual Bullish Options Activity $300M+ of Jan'21 deep ITM calls traded yesterday …,0.0,0.0,1.0,0.0
2020-12-11, $WMT Walmart looking primed for a bounce here soonTarget: $160 possible by month end ,0.0,0.0,1.0,0.0
2020-12-11,"Retail giants like Walmart $WMT, Target $TGT, and Kroger $KR have been looking to expand their online advertisement regime for higher profits previously but they got a boost with the onset of the pandemic.walmart target ",0.7845,0.0,0.771,0.229
2020-12-11,Primo Nutraceuticals $PRMO.ca Partner To Sell Goods Via Walmart $WMT $MRS.ca $FTI.ca $MMM $HON $MSA ,0.0,0.0,1.0,0.0
2020-12-11,"Early Shipping Deadlines Could Help Walmart, Target, and Other Retailers This Holiday. $WMT $TGT 📦📦🇺🇸 ",0.6597,0.0,0.707,0.293
2020-12-11,$HIPH - Its Vanexxe topical product for varicose veins sold by $WMT Walmart . A CBD Hemp infused version is in development to launch early 2021  $CBDD $CBDL $ARCS $SKDI $TSNP,0.0,0.0,1.0,0.0
2020-12-11,Marianna Naturals Corp. Announces It Has Been Approved as a Walmart $WMT Marketplace Seller  StockMarket,0.4215,0.0,0.823,0.177
2020-12-11,"Early Shipping Deadlines Could Help Walmart, Nordstrom, and Other Retailers This Holiday $WMT $TGT $JWN $ETSY $SFIX ",0.6597,0.0,0.735,0.265
2020-12-11,"Asda paid parent Walmart $1.52 billion dividend in March, annual report shows $WMTThe story 👇 ",0.0,0.0,1.0,0.0
2020-12-11," $OPTI - Walmart Will Need a Significant Amount of PPE For Customers, Employees and Healthcare Workers For the Next Coup…",0.2023,0.0,0.904,0.096
2020-12-11, Largest MKT Cap stocks that were negative todayMicrosoft $MSFT -0.6%Amazon $AMZN -0.09%Google $GOOG -0.49%Facebook $…,-0.5719,0.209,0.791,0.0
2020-12-11, Worst performing mega cap ($200B+ MKT cap) stocks from todayIntel $INTC -3.43%Coca-Cola $KO -1.6%Alibaba $BABA -1.22%…,-0.6249,0.215,0.785,0.0
2020-12-11,"$OPTI - Walmart Will Need a Significant Amount of PPE For Customers, Employees and Healthcare Workers For the Next Couple Years to Administer Covid19 Vaccine to Country WalmartHealth Clover $IPOC $WMT",0.2023,0.0,0.94,0.06
2020-12-11, $WMT Walmart is preparing to administer the COVID-19 vaccine once approved,0.4215,0.0,0.781,0.219
2020-12-11,Post Flipkart ipon$ms says $wmt will bet big on m&amp;a in india ,0.0,0.0,1.0,0.0
2020-12-11, Most active stocks in today's pre-market tradingTesla $TSLAPfizer $PFEAmerican $AALApple $AAPL$GEVirgin Galactic $…,0.4576,0.0,0.8,0.2
2020-12-11, Current market caps of the largest stocksApple $AAPL $2.1TMicrosoft $MSFT $1.62TAmazon $AMZN $1.6TAlphabet $GOOG $1.…,0.0,0.0,1.0,0.0
2020-12-11, Best performing mega-cap stocks ($200B+ MKT Cap) so far todayAT&amp;T $TPfizer $PFE$JNJMicrosoft $MSFTMerck $MRKWalmar…,0.6369,0.0,0.756,0.244
2020-12-11," Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have…",0.3182,0.0,0.887,0.113
2020-12-11,"Best Stocks of the Year: Walmart, Apple, Nvidia - TheStreetTheStreet and RealMoney writers and editors chose 2020's top stocks based on results and overall story.$WMT$AAPL$NVDA  ✅ ",0.7184,0.0,0.786,0.214
2020-12-11, $WMT Walmart is preparing to administer the COVID-19 vaccine once approved,0.4215,0.0,0.781,0.219
2020-12-11, $WMT Walmart is preparing to administer the COVID-19 vaccine once approved,0.4215,0.0,0.781,0.219
2020-12-11, $WMT Walmart is preparing to administer the COVID-19 vaccine once approved,0.4215,0.0,0.781,0.219
2020-12-11, $WMT Walmart is preparing to administer the COVID-19 vaccine once approved,0.4215,0.0,0.781,0.219
2020-12-11,$WMT Walmart is preparing to administer the COVID-19 vaccine once approved,0.4215,0.0,0.781,0.219
2020-12-11, $WMT - Walmart mobilizes to help in vaccination distribution ,0.4019,0.0,0.722,0.278
2020-12-11," Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have…",0.3182,0.0,0.887,0.113
2020-12-11," Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have…",0.3182,0.0,0.887,0.113
2020-12-11," Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have…",0.3182,0.0,0.887,0.113
2020-12-11," Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have…",0.3182,0.0,0.887,0.113
2020-12-11," Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have…",0.3182,0.0,0.887,0.113
2020-12-11," Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have…",0.3182,0.0,0.887,0.113
2020-12-11," Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have…",0.3182,0.0,0.887,0.113
2020-12-11,"Walmart is preparing 5000+ Walmart and Sam’s Club pharmacies to receive the vaccine, .. “including making sure we have freezers in all our pharmacies, as well as dry ice to handle any requirements for storing ..”$WMT  ",0.5106,0.029,0.857,0.114
2020-12-11,$WMT - Walmart mobilizes to help in vaccination distribution ,0.4019,0.0,0.722,0.278
2020-12-11,"$WMTWalmart (NYSE:WMT) says it is preparing its more than 5000 pharmacies to receive vaccine doses. The preparation work includes making sure stores have freezers in all its pharmacies, as well as dry ice to handle any requirem... ",0.5106,0.028,0.861,0.111
2020-12-11,$WMT - Walmart mobilizes to help in vaccination distribution ,0.4019,0.0,0.722,0.278
2020-12-11,$WMT mobilizes to help in vaccination distribution ,0.4019,0.0,0.69,0.31
2020-12-11, $WMT - Walmart mobilizes to help in vaccination distribution ,0.4019,0.0,0.722,0.278
2020-12-11,$WMT - Walmart mobilizes to help in vaccination distribution ,0.4019,0.0,0.722,0.278
2020-12-11," Real baffling numbers here WMT REVENUES &gt;500B/YEAR TSLA REVENUES 32B / YEAR TSLA IS WORTH MORE THEN WALMART, BY A LOT.   ",0.3885,0.0,0.872,0.128
2020-12-11, Here's how the largest stocks are performing todayApple $AAPL -0.21%Microsoft $MSFT +0.3%Amazon $AMZN -0.67%Alphabet…,0.0,0.0,1.0,0.0
2020-12-11, Here's how the largest stocks performed todayApple $AAPL +0.51%Microsoft $MSFT +0.8%Amazon $AMZN +0.61%Alphabet $GOO…,0.0,0.0,1.0,0.0
2020-12-11,Walmart to triple exports of India-made goods to $10 bln per year by 2027 $WMT $AMZN ,0.0,0.0,1.0,0.0
2020-12-11,Walmart to triple exports of India-made goods to $10 billion per year by 2027 $WMT $AMZN ,0.0,0.0,1.0,0.0
2020-12-11, Here's how the largest stocks are performing todayApple $AAPL -1.71%Microsoft $MSFT -1.151%Amazon $AMZN -1.91%Alphab…,0.0,0.0,1.0,0.0
2020-12-11,FarmBills are opportunities for $wmt to get in groceries SupplyChains foodproccesing &amp; dairy ,0.3818,0.0,0.822,0.178
2020-12-11,"@_Kyraaaaaaaa Hi Kyra! We're always available online! Start your order with us through our website, and pick it up curbside when we open!  🚙",0.0,0.0,1.0,0.0
2020-12-11, This relationship is just gonna grow.    $wmt $ipoc ,0.0,0.0,1.0,0.0
2020-12-11,Amazon is hoping that cutting delivery times to one day for Prime members will let it outmaneuver rivals such as Walmart Inc (WMT.N) that have marketed two-day shipping without subscription fees.  via  Business CloudComputing,0.4588,0.041,0.838,0.122
2020-12-11,"RT _repko: Just in: Walmart is preparing to administer Covid-19 vaccines at stores across the U.S., once they're approved. https://…",0.4215,0.0,0.872,0.128
2020-12-11,This relationship is just gonna grow.    $wmt $ipoc ,0.0,0.0,1.0,0.0
2020-12-11,$WMT:New Insider Filing on Walmart Inc.'sExecutive Vice PresidentRACHEL L BRAND:,0.0,0.0,1.0,0.0
2020-12-11,Fantastic Wildlife Conservation Habitat Walmart ,0.5574,0.0,0.526,0.474
2020-12-11,"RT _repko: Just in: Walmart is preparing to administer Covid-19 vaccines at stores across the U.S., once they're approved. https://…",0.4215,0.0,0.872,0.128
2020-12-11,"Walmart prepares to administer the Covid vaccine in 5,000 pharmacies across the U.S. $WMT  $SPY",0.0,0.0,1.0,0.0
2020-12-11, WALMART CEO SAYS WE WOULD LIKE TO INVEST MORE IN COLD CHAIN AND SUPPLY CHAIN$WMT,0.3612,0.0,0.848,0.152
2020-12-11, WALMART CEO SAYS WE WOULD LIKE TO INVEST MORE IN COLD CHAIN AND SUPPLY CHAIN$WMT,0.3612,0.0,0.848,0.152
2020-12-11, WALMART CEO SAYS WE WOULD LIKE TO INVEST MORE IN COLD CHAIN AND SUPPLY CHAIN$WMT,0.3612,0.0,0.848,0.152
2020-12-11,$WMT needs a super app in india next is edtech and ikea partnership ,0.5994,0.0,0.738,0.262
2020-12-11,"  Agree on stock based comp, disagree on negative NWC. That’s how everyone from Walmart to Amazon and Aldi have financed their growth. Have a look at WMT financials from the 90s. It was profitable but “burnt” cash on capex on its store rollout.",0.1779,0.088,0.766,0.146
2020-12-11," Hey  some folks would do well to read the financial sections of any major newspaper or I dunno, turn on the M…",0.2732,0.0,0.905,0.095
